symbol,timestamp,open,high,low,close,volume
MSFT,2025-09-05T16:40:00Z,495.54,495.7099,495.4,495.67,42188
MSFT,2025-09-05T16:41:00Z,495.63,496.0199,495.62,495.975,43344
MSFT,2025-09-05T16:42:00Z,495.96,495.96,495.66,495.66,37269
MSFT,2025-09-05T16:43:00Z,495.715,495.7823,495.37,495.37,43901
MSFT,2025-09-05T16:44:00Z,495.4,495.5073,495.35,495.475,29009
MSFT,2025-09-05T16:45:00Z,495.46,495.589,495.26,495.48,35241
MSFT,2025-09-05T16:46:00Z,495.495,495.56,495.37,495.5399,32404
MSFT,2025-09-05T16:47:00Z,495.47,495.5,494.71,494.73,173589
MSFT,2025-09-05T16:48:00Z,494.76,494.84,494.5,494.55,104911
MSFT,2025-09-05T16:49:00Z,494.57,494.5768,494.17,494.2575,74789
MSFT,2025-09-05T16:50:00Z,494.25,494.38,494.08,494.12,80125
MSFT,2025-09-05T16:51:00Z,494.09,494.26,494.0,494.135,62128
MSFT,2025-09-05T16:52:00Z,494.135,494.34,494.09,494.255,37447
MSFT,2025-09-05T16:53:00Z,494.23,494.84,494.1,494.73,67639
MSFT,2025-09-05T16:54:00Z,494.7756,494.84,494.54,494.56,56319
MSFT,2025-09-05T16:55:00Z,494.56,494.8,494.43,494.43,28477
MSFT,2025-09-05T16:56:00Z,494.46,494.7399,494.44,494.665,32096
MSFT,2025-09-05T16:57:00Z,494.6904,494.81,494.65,494.81,32345
MSFT,2025-09-05T16:58:00Z,494.815,494.84,494.58,494.83,32616
MSFT,2025-09-05T16:59:00Z,494.84,495.24,494.75,495.15,39233
MSFT,2025-09-05T17:00:00Z,495.12,495.12,494.87,494.92,25289
MSFT,2025-09-05T17:01:00Z,494.91,494.91,494.62,494.635,21433
MSFT,2025-09-05T17:02:00Z,494.64,494.81,494.46,494.505,34545
MSFT,2025-09-05T17:03:00Z,494.58,494.7,494.515,494.62,25035
MSFT,2025-09-05T17:04:00Z,494.55,494.55,494.33,494.41,35146
MSFT,2025-09-05T17:05:00Z,494.45,494.49,494.04,494.145,57411
MSFT,2025-09-05T17:06:00Z,494.11,494.465,494.0,494.465,52827
MSFT,2025-09-05T17:07:00Z,494.5257,494.5257,494.21,494.38,27622
MSFT,2025-09-05T17:08:00Z,494.44,494.8985,494.39,494.83,36120
MSFT,2025-09-05T17:09:00Z,494.825,494.98,494.8058,494.975,246215
MSFT,2025-09-05T17:10:00Z,495.0,495.152,494.66,494.775,284740
MSFT,2025-09-05T17:11:00Z,494.785,495.03,494.739,494.9984,24189
MSFT,2025-09-05T17:12:00Z,494.971,495.17,494.935,495.17,27046
MSFT,2025-09-05T17:13:00Z,495.14,495.19,494.93,495.17,235553
MSFT,2025-09-05T17:14:00Z,495.21,495.2328,494.95,495.12,24343
